address,ALD,NSP,POLICE,TRACT,WARD,ZIP,Arson,Assault,Burglary,CriminalDamage,Homicide,Robbery,SexOffense,Theft,VehicleTheft
7300 W DEAN RD,9.0,,4.0,102.0,4.0,53223.0,0,0,0,0,0,0,0,0,1
1114 W ATKINSON AV,6.0,4.0,5.0,4500.0,111.0,53206.0,0,1,0,0,0,0,0,0,0
910 E TOWNSEND ST,3.0,,5.0,7200.0,121.0,53212.0,0,0,0,0,0,0,0,0,0
4811 N TEUTONIA AV,1.0,2.0,7.0,2400.0,51.0,53209.0,0,0,0,0,0,1,0,0,0
3119 N HUMBOLDT BL,3.0,,5.0,7100.0,121.0,53212.0,0,0,0,0,0,0,0,0,0
5526 W CAPITOL DR,2.0,,7.0,3600.0,67.0,53216.0,0,0,0,1,0,0,0,0,0
3401 N 95TH ST,5.0,,7.0,5500.0,79.0,53222.0,0,0,0,0,0,0,0,0,1
1560 W PIERCE ST,8.0,,2.0,186800.0,339.0,53204.0,0,0,0,0,0,0,0,1,0
3574 N 11TH ST,6.0,4.0,5.0,4500.0,112.0,53206.0,0,1,0,0,0,0,0,0,0
1422 S 14TH ST,12.0,16.0,2.0,16400.0,227.0,53204.0,0,1,0,0,0,0,0,0,0
2938 N BREMEN ST,3.0,,5.0,7100.0,332.0,53212.0,0,0,0,0,0,0,0,0,0
9626 W SILVER SPRING DR,2.0,19.0,4.0,502.0,31.0,53225.0,0,1,0,0,0,0,0,1,0
2860 S 9TH ST,14.0,17.0,6.0,18600.0,243.0,53215.0,0,1,0,0,0,0,0,0,0
1433 W BURNHAM ST,12.0,16.0,2.0,16800.0,225.0,53204.0,0,0,0,1,0,0,0,0,0
2700 W NORTH AV,15.0,8.0,3.0,9900.0,147.0,53210.0,0,1,0,0,0,0,0,0,0
413 E CLARKE ST,6.0,6.0,5.0,8100.0,135.0,53212.0,0,0,0,0,0,0,0,0,0
2944 N 7TH ST,6.0,6.0,5.0,6700.0,117.0,53212.0,0,0,1,0,0,0,0,0,0
324 W VINE ST,6.0,6.0,5.0,186000.0,171.0,53212.0,0,0,0,1,0,0,0,0,0
6045 N 42ND ST,1.0,2.0,4.0,1100.0,23.0,53209.0,0,1,0,0,0,0,0,0,0
9100 W MILL RD,2.0,,4.0,304.0,32.0,53225.0,0,0,0,0,0,1,0,0,0
2850 W HIGHLAND BL,4.0,14.0,3.0,13600.0,334.0,53208.0,0,1,0,0,0,0,0,0,0
841 N JACKSON ST,4.0,,1.0,14400.0,141.0,53202.0,0,0,0,0,0,0,0,0,1
2200 N COMMERCE ST,3.0,7.0,5.0,10700.0,133.0,53212.0,0,0,1,0,0,0,0,0,0
815 E WRIGHT ST,3.0,7.0,5.0,8000.0,134.0,53212.0,0,0,0,0,0,0,0,0,1
2774 N MARTIN L KING JR DR,6.0,6.0,5.0,185700.0,118.0,53212.0,0,0,0,1,0,0,0,0,1
1000 W WINNEBAGO ST,6.0,13.0,5.0,14100.0,172.0,53205.0,0,0,0,0,0,0,0,0,1
533 N 33RD ST,10.0,14.0,3.0,13400.0,193.0,53208.0,0,1,0,0,0,0,0,0,0
2523 N BOOTH ST,6.0,7.0,5.0,8000.0,135.0,53212.0,0,0,0,0,0,0,0,0,1
2875 N 29TH ST,7.0,4.0,5.0,6300.0,102.0,53210.0,0,0,0,0,0,0,0,0,1
4226 N 19TH ST,1.0,4.0,5.0,4300.0,57.0,53209.0,0,1,0,0,0,0,0,0,0
3881 N 21ST ST,6.0,4.0,5.0,4700.0,104.0,53206.0,0,0,0,1,0,0,0,0,0
2031 W CAPITOL DR,1.0,4.0,5.0,4300.0,57.0,53206.0,0,1,0,1,0,0,0,0,0
6000 W APPLETON AV,10.0,5.0,7.0,5900.0,160.0,53210.0,0,1,0,0,0,0,0,0,0
7710 W BRENTWOOD AV,9.0,,4.0,600.0,11.0,53218.0,0,0,0,0,0,0,0,1,0
924 S 5TH ST,12.0,16.0,2.0,186500.0,223.0,53204.0,0,0,0,1,0,0,0,0,0
2700 W NATIONAL AV,8.0,15.0,2.0,15900.0,222.0,53215.0,0,0,0,0,0,0,0,1,0
3273 N 6TH ST,6.0,6.0,5.0,6800.0,117.0,53212.0,0,0,0,0,0,0,0,0,1
903 S 17TH ST,12.0,15.0,2.0,15800.0,305.0,53204.0,0,0,0,0,0,0,0,0,0
5353 N SHERMAN BL,1.0,2.0,4.0,2000.0,47.0,53209.0,0,1,0,0,0,0,0,0,0
1433 W BURNHAM ST,12.0,16.0,2.0,16800.0,225.0,53204.0,0,0,0,0,0,1,0,0,0
4906 N 38TH ST,1.0,2.0,7.0,2500.0,51.0,53209.0,0,1,0,0,0,0,0,0,0
5823 W THURSTON AV,1.0,2.0,4.0,1200.0,23.0,53218.0,0,1,0,0,0,0,0,0,0
4155 N PORT WASHINGTON AV,1.0,6.0,5.0,4300.0,56.0,53209.0,0,0,0,0,0,0,0,0,0
817 N MARSHALL ST,4.0,,1.0,14300.0,156.0,53202.0,0,0,0,0,0,0,0,0,0
2639 W VLIET ST,4.0,12.0,3.0,186100.0,189.0,53208.0,0,0,0,0,0,1,0,0,0
5912 N 36TH ST,1.0,,4.0,1000.0,20.0,53209.0,0,1,0,0,0,0,0,0,0
5645 N 34TH ST,1.0,,4.0,1000.0,20.0,53209.0,0,0,1,0,0,0,0,0,0
8313 W LISBON AV,5.0,,7.0,5300.0,86.0,53222.0,0,1,0,1,0,0,0,0,0
7343 W APPLETON AV,10.0,,7.0,5100.0,88.0,53216.0,0,1,0,0,0,0,0,0,0
4934 W VIENNA AV,7.0,5.0,7.0,3800.0,96.0,53216.0,0,0,0,0,0,0,0,0,1
3257 S 6TH ST,14.0,,6.0,18500.0,280.0,53215.0,0,0,0,0,0,0,0,0,1
4436 N 27TH ST,1.0,4.0,5.0,4200.0,58.0,53209.0,0,0,0,0,0,0,0,1,0
3749 N 40TH ST,7.0,5.0,7.0,3900.0,98.0,53216.0,0,0,0,1,0,0,0,0,0
3022 W WISCONSIN AV,4.0,14.0,3.0,13500.0,194.0,53208.0,0,0,0,0,0,0,0,0,0
435 S HAWLEY RD,10.0,,3.0,13000.0,208.0,53214.0,0,1,0,0,0,0,0,0,0
3000 W WISCONSIN AV,4.0,14.0,3.0,13500.0,194.0,53208.0,0,0,0,0,0,0,0,0,0
3445 N 96TH ST,5.0,,7.0,5500.0,79.0,53222.0,0,1,0,0,0,0,0,0,0
2410 W FOREST HOME AV,8.0,17.0,2.0,17300.0,218.0,53215.0,0,0,0,0,0,0,0,1,0
2776 N 44TH ST,7.0,5.0,7.0,6100.0,157.0,53210.0,0,0,0,0,0,0,0,0,1
4372 N 14TH ST,1.0,4.0,5.0,4300.0,55.0,53209.0,0,0,1,0,0,0,0,0,0
2378 N 12TH ST,15.0,10.0,3.0,185500.0,140.0,53206.0,0,1,0,0,0,0,0,0,0
3326 W MC KINLEY BL,4.0,14.0,3.0,12200.0,196.0,53208.0,0,0,0,0,0,0,0,0,1
1555 N MARTIN L KING JR DR,6.0,,1.0,11400.0,172.0,53212.0,0,0,0,0,0,0,0,0,1
3233 S 27TH ST,13.0,,6.0,20100.0,272.0,53215.0,0,0,0,0,0,0,0,1,0
4252 N TEUTONIA AV,1.0,4.0,5.0,4300.0,58.0,53209.0,0,1,0,0,0,0,0,0,0
3355 S 27TH ST,11.0,,6.0,20000.0,311.0,53215.0,0,0,0,0,0,0,0,1,0
5330 N 64TH ST,2.0,2.0,4.0,1800.0,42.0,53218.0,0,1,0,0,0,0,0,0,0
3911 N 20TH ST,6.0,4.0,5.0,4700.0,104.0,53206.0,0,0,0,0,0,0,0,0,1
2425 W TRIPOLI AV,13.0,,6.0,20200.0,271.0,53221.0,0,0,1,0,0,0,0,0,0
3135 N 53RD ST,7.0,5.0,7.0,5000.0,93.0,53216.0,0,0,0,0,0,0,0,0,0
3821 W HELENA ST,1.0,,4.0,900.0,18.0,53209.0,0,1,0,0,0,0,0,0,0
2832 N BOOTH ST,6.0,7.0,5.0,8000.0,331.0,53212.0,1,0,0,0,0,0,0,0,0
9726 W BROWN DEER RD,9.0,18.0,4.0,201.0,1.0,53224.0,0,1,0,0,0,0,0,0,0
6700 W APPLETON AV,10.0,,7.0,5100.0,91.0,53216.0,0,0,0,0,0,0,0,0,1
7100 N PRESIDIO DR,9.0,,4.0,700.0,15.0,53223.0,0,1,0,0,0,0,0,0,0
3925 N TEUTONIA AV,6.0,4.0,5.0,4700.0,104.0,53206.0,0,0,0,0,0,1,0,0,0
939 W HISTORIC MITCHELL ST,12.0,16.0,2.0,16700.0,233.0,53204.0,0,0,0,0,0,0,0,0,1
937 S 35TH ST,8.0,15.0,2.0,16000.0,214.0,53215.0,0,1,0,0,0,0,0,0,0
1008 E MEINECKE AV,6.0,7.0,5.0,10700.0,135.0,53212.0,0,0,0,1,0,0,0,0,0
3536 W FOND DU LAC AV,7.0,5.0,7.0,4800.0,101.0,53216.0,1,0,0,0,0,0,0,0,0
2236 N 46TH ST,15.0,11.0,3.0,9100.0,154.0,53208.0,0,1,0,0,0,0,0,0,0
2035 W FOND DU LAC AV,15.0,12.0,3.0,185400.0,144.0,53205.0,0,0,1,0,0,0,0,0,0
4916 N 62ND ST,2.0,,7.0,3000.0,43.0,53218.0,0,0,0,0,0,0,0,0,1
3472 N FRATNEY ST,6.0,,5.0,7200.0,119.0,53212.0,0,0,0,0,0,0,0,0,0
545 W LAYTON AV,13.0,,6.0,21600.0,303.0,53221.0,0,0,0,1,0,0,0,0,0
626 W GARFIELD AV,6.0,6.0,5.0,185600.0,138.0,53212.0,0,0,0,1,0,0,0,0,0
2810 N 75TH ST,10.0,,7.0,5800.0,90.0,53210.0,0,0,1,0,0,0,0,0,0
2853 N 16TH ST,15.0,10.0,5.0,8600.0,330.0,53206.0,0,1,0,0,0,0,0,0,0
3201 N 35TH ST,7.0,5.0,7.0,4800.0,101.0,53216.0,0,1,0,1,0,0,0,0,0
3245 N 37TH ST,7.0,5.0,7.0,4800.0,101.0,53216.0,0,0,0,1,0,0,0,0,0
3920 S 27TH ST,13.0,,6.0,21300.0,294.0,53221.0,0,1,0,0,0,0,0,0,0
8890 N 96TH ST,9.0,18.0,4.0,201.0,1.0,53224.0,0,1,0,0,0,0,0,0,0
4604 W OLIVE WA,7.0,1.0,7.0,4000.0,66.0,53216.0,0,1,0,0,0,0,0,0,0
7054 W MILL RD,9.0,,4.0,600.0,12.0,53223.0,0,1,0,0,0,0,0,0,0
3245 N 37TH ST,7.0,5.0,7.0,4800.0,101.0,53216.0,0,0,0,1,0,0,0,0,0
8755 N 72ND ST,9.0,,4.0,101.0,4.0,53223.0,0,0,0,0,0,0,0,1,0
1900 W JUNEAU AV,4.0,12.0,3.0,186200.0,188.0,53233.0,0,1,0,0,0,0,0,0,0
4145 N 13TH ST,1.0,4.0,5.0,4300.0,56.0,53209.0,0,1,0,0,0,0,0,0,0
9097 N 75TH ST,9.0,,4.0,101.0,4.0,53223.0,0,0,0,0,0,0,0,0,1
841 N JAMES LOVELL ST,4.0,,1.0,186300.0,184.0,53233.0,0,0,0,0,0,0,0,1,0
8890 N 96TH ST,9.0,18.0,4.0,201.0,1.0,53224.0,0,1,0,0,0,0,0,0,0
5246 N 46TH ST,1.0,2.0,4.0,2000.0,47.0,53218.0,0,0,0,0,0,0,0,0,1
4409 W FOND DU LAC AV,7.0,5.0,7.0,3800.0,97.0,53216.0,0,1,0,0,0,0,0,0,0
4535 N 40TH ST,7.0,1.0,7.0,2600.0,61.0,53209.0,0,1,0,0,0,0,0,0,0
3816 N 22ND ST,6.0,4.0,5.0,4700.0,104.0,53206.0,0,1,0,0,0,0,0,0,0
3401 W BECHER ST,8.0,15.0,2.0,17100.0,213.0,53215.0,0,0,0,0,0,1,0,0,0
3718 N 17TH ST,6.0,4.0,5.0,4600.0,110.0,53206.0,0,1,0,0,0,0,0,0,0
2700 W CLARKE ST,15.0,8.0,3.0,8800.0,147.0,53210.0,0,1,0,0,0,0,0,0,0
8199 N 107TH ST,9.0,18.0,4.0,201.0,1.0,53224.0,0,0,0,0,0,0,0,0,1
2758 N 33RD ST,15.0,5.0,7.0,8900.0,148.0,53210.0,0,0,0,0,1,0,0,0,0
2622 W KILBOURN AV,4.0,14.0,3.0,13700.0,191.0,53233.0,0,1,0,0,0,0,0,0,0
1 S BREWERS WA,10.0,,3.0,12500.0,201.0,53208.0,0,0,0,1,0,0,0,0,0
7414 W BURLEIGH ST,10.0,,7.0,5800.0,89.0,53210.0,0,0,0,0,0,0,0,0,1
8839 W APPLETON AV,5.0,,7.0,1700.0,36.0,53225.0,0,0,0,0,0,0,0,0,1
3283 N 8TH ST,6.0,4.0,5.0,6800.0,113.0,53206.0,0,1,0,0,0,0,0,0,0
4676 N 19TH PL,1.0,3.0,7.0,2300.0,55.0,53209.0,0,1,0,0,0,0,0,0,0
3614 N 9TH ST,6.0,4.0,5.0,4500.0,114.0,53206.0,0,1,0,0,0,0,0,0,0
2700 W MICHIGAN ST,10.0,14.0,3.0,14900.0,193.0,53208.0,0,1,0,0,0,0,0,0,0
4925 W HAMPTON AV,1.0,2.0,7.0,2800.0,48.0,53218.0,0,0,0,1,0,0,0,0,0
3345 N 3RD ST,6.0,6.0,5.0,6900.0,116.0,53212.0,0,1,0,0,0,0,0,0,0
1127 W GREENFIELD AV,12.0,16.0,2.0,16400.0,231.0,53204.0,0,0,0,0,0,0,0,1,0
5557 N LONG ISLAND DR,1.0,3.0,4.0,2200.0,52.0,53209.0,0,1,0,0,0,0,0,0,0
1121 N MILWAUKEE ST,4.0,,1.0,14400.0,158.0,53202.0,0,0,0,0,0,0,0,0,1
2726 N 58TH ST,10.0,5.0,7.0,5900.0,160.0,53210.0,0,1,0,0,0,0,0,0,0
3300 W SILVER SPRING DR,1.0,,4.0,1000.0,20.0,53209.0,0,1,0,0,0,0,0,0,0
2128 S 28TH ST,8.0,17.0,2.0,17300.0,216.0,53215.0,0,1,0,0,0,0,0,0,0
3509 N 55TH ST,7.0,5.0,7.0,3700.0,96.0,53216.0,0,1,0,0,0,0,0,0,0
3273 N 6TH ST,6.0,6.0,5.0,6800.0,117.0,53212.0,0,0,0,0,0,0,0,0,1
3254 N 37TH ST,7.0,5.0,7.0,4800.0,101.0,53216.0,0,0,0,1,0,0,0,0,0
2125 W KILBOURN AV,4.0,14.0,3.0,14800.0,190.0,53233.0,0,0,0,0,0,0,0,1,0
2429 S 7TH ST,14.0,17.0,2.0,17600.0,309.0,53215.0,0,0,0,0,0,0,0,1,0
1557 N 32ND ST,15.0,11.0,3.0,9700.0,166.0,53208.0,0,1,0,0,0,0,0,0,0
3509 N 55TH ST,7.0,5.0,7.0,3700.0,96.0,53216.0,0,1,0,0,0,0,0,0,0
6707 W HAMPTON AV,2.0,,7.0,3000.0,41.0,53218.0,0,0,0,0,0,0,0,1,0
6450 N 76TH ST,9.0,,4.0,600.0,12.0,53218.0,0,0,0,0,0,0,0,1,0
4659 N 37TH ST,7.0,1.0,7.0,2600.0,61.0,53209.0,0,0,0,1,0,0,0,0,0
2700 W CAPITOL DR,1.0,4.0,5.0,4100.0,60.0,53216.0,0,0,0,0,0,0,0,0,0
1725 N PROSPECT AV,3.0,,1.0,187000.0,175.0,53202.0,0,0,0,0,0,0,0,1,0
5750 W CAPITOL DR,2.0,,7.0,3600.0,67.0,53216.0,0,0,0,0,0,1,0,0,0
539 W MAPLE ST,12.0,16.0,2.0,16600.0,234.0,53204.0,0,1,0,0,0,0,0,0,0
1100 W BURLEIGH ST,6.0,4.0,5.0,6600.0,112.0,53206.0,0,1,0,0,0,0,0,0,0
1973 W LAWRENCE AV,1.0,4.0,5.0,4300.0,55.0,53209.0,0,0,0,0,0,0,0,1,0
3365 N 38TH ST,7.0,5.0,7.0,4800.0,99.0,53216.0,0,1,0,0,0,0,0,0,0
3614 N 9TH ST,6.0,4.0,5.0,4500.0,114.0,53206.0,0,1,0,0,0,0,0,0,0
1206 W HISTORIC MITCHELL ST,12.0,16.0,2.0,16800.0,226.0,53204.0,0,0,0,0,0,0,0,0,1
7713 W SHERIDAN AV,2.0,,4.0,1600.0,40.0,53218.0,0,1,0,0,0,0,0,0,0
2415 N 45TH ST,15.0,5.0,3.0,9100.0,154.0,53210.0,0,0,1,0,0,0,0,0,0
1110 N 17TH ST,4.0,12.0,3.0,14600.0,188.0,53233.0,0,0,0,1,0,0,0,0,0
3372 N 22ND ST,6.0,4.0,5.0,6500.0,105.0,53206.0,0,0,0,0,0,0,0,0,1
1110 N 17TH ST,4.0,12.0,3.0,14600.0,188.0,53233.0,0,1,0,0,0,0,0,0,0
,15.0,11.0,3.0,9100.0,154.0,53208.0,0,0,0,0,0,0,1,0,0
2012 W CAPITOL DR,1.0,4.0,5.0,4300.0,57.0,53206.0,0,0,1,0,0,0,0,0,0
3729 N PORT WASHINGTON AV,6.0,6.0,5.0,4500.0,114.0,53212.0,0,1,0,0,0,0,0,0,0
6800 W BROWN DEER RD,9.0,,4.0,101.0,4.0,53223.0,0,1,0,0,0,0,0,0,0
3828 S 1ST ST,13.0,,6.0,18500.0,281.0,53207.0,0,0,0,0,0,0,0,0,0
723 E CONWAY ST,14.0,,6.0,18000.0,236.0,53207.0,0,0,0,0,0,0,0,0,0
1963 S 13TH ST,12.0,16.0,2.0,16800.0,233.0,53204.0,0,0,0,1,0,0,0,0,0
7382 W APPLETON AV,10.0,,7.0,5100.0,88.0,53216.0,0,1,0,0,0,0,0,0,0
3223 N 25TH ST,7.0,4.0,5.0,6500.0,106.0,53206.0,0,1,0,0,0,0,0,0,0
2554 N 23RD ST,15.0,9.0,3.0,8700.0,145.0,53206.0,0,0,0,0,0,0,0,0,1
600 W MICHIGAN ST,4.0,,1.0,186300.0,183.0,53203.0,0,1,0,0,0,0,0,0,0
6947 N 37TH ST,1.0,,4.0,900.0,19.0,53209.0,0,1,0,0,0,0,0,0,0
,14.0,,6.0,18000.0,236.0,53207.0,0,0,0,0,0,0,1,0,0
2100 E LOCUST ST,3.0,,1.0,7800.0,124.0,53211.0,0,0,0,0,0,0,0,0,1
1312 S 22ND ST,8.0,15.0,2.0,16300.0,220.0,53204.0,0,1,0,0,0,0,0,0,0
4302 W CAPITOL DR,7.0,5.0,7.0,4000.0,63.0,53216.0,0,1,0,0,0,0,0,0,0
,1.0,3.0,7.0,2300.0,53.0,53209.0,0,0,0,0,0,0,1,0,0
4040 S 27TH ST,13.0,,6.0,21300.0,294.0,53221.0,0,1,0,0,0,0,0,0,0
2759 S 47TH ST,11.0,,6.0,19000.0,253.0,53219.0,0,0,0,1,0,0,0,0,0
1725 N PROSPECT AV,3.0,,1.0,187000.0,175.0,53202.0,0,0,0,0,0,0,0,1,0
1725 N PROSPECT AV,3.0,,1.0,187000.0,175.0,53202.0,0,0,0,0,0,0,0,1,0
2950 N 29TH ST,7.0,4.0,5.0,6300.0,102.0,53210.0,0,0,0,0,0,0,0,0,1
4658 N 51ST BL,7.0,1.0,7.0,3100.0,65.0,53218.0,0,1,0,0,0,0,0,0,0
1231 S 12TH ST,12.0,16.0,2.0,16400.0,227.0,53204.0,0,1,0,0,0,0,0,0,0
3238 S 51ST ST,11.0,,6.0,19100.0,344.0,53219.0,0,0,1,0,0,0,0,0,0
1239 N MILWAUKEE ST,4.0,,1.0,11300.0,180.0,53202.0,0,0,0,1,0,0,0,0,0
4715 N 85TH CT,5.0,,7.0,3300.0,75.0,53225.0,0,1,0,0,0,0,0,0,0
6509 W CUSTER AV,2.0,2.0,4.0,1800.0,42.0,53218.0,0,1,0,0,0,0,0,0,0
3064 N 73RD ST,10.0,,7.0,5800.0,89.0,53210.0,0,0,0,0,0,0,0,0,1
4120 N 84TH ST,5.0,,7.0,3400.0,76.0,53222.0,0,0,0,0,0,0,0,0,1
1135 W LLOYD ST,15.0,10.0,3.0,185500.0,140.0,53205.0,0,0,0,0,0,0,0,0,1
6412 N 76TH ST,9.0,,4.0,600.0,12.0,53218.0,0,0,0,0,1,0,0,0,0
217 N 34TH ST,10.0,14.0,3.0,13400.0,193.0,53208.0,0,1,0,0,0,0,0,0,0
116 W BROWN ST,6.0,6.0,5.0,185600.0,173.0,53212.0,0,1,0,0,0,0,0,0,0
7225 W BURLEIGH ST,10.0,,7.0,5800.0,89.0,53210.0,0,0,0,1,0,0,0,0,0
909 S 25TH ST,8.0,15.0,2.0,15900.0,221.0,53204.0,0,1,0,0,0,0,0,0,0
5117 N 49TH ST,1.0,2.0,7.0,2800.0,48.0,53218.0,0,1,0,0,0,0,0,0,0
2414 N VEL R PHILLIPS AV,6.0,6.0,5.0,185600.0,138.0,53212.0,0,0,0,0,0,0,0,0,0
8643 N SERVITE DR,9.0,,4.0,102.0,5.0,53223.0,0,1,0,0,0,0,0,0,0
135 W WELLS ST,4.0,,1.0,186300.0,185.0,53203.0,0,1,0,0,0,0,0,0,0
3817 N 35TH ST,7.0,5.0,7.0,3900.0,98.0,53216.0,0,0,0,0,0,0,0,0,1
2960 N 7TH ST,6.0,6.0,5.0,6700.0,117.0,53212.0,0,1,0,0,0,0,0,0,0
9591 W ALLYN ST,9.0,18.0,4.0,201.0,1.0,53224.0,0,1,0,0,0,0,0,0,0
2700 W CLARKE ST,15.0,8.0,3.0,8800.0,147.0,53210.0,0,1,0,0,0,0,0,0,0
3815 W GOOD HOPE RD,1.0,,4.0,900.0,18.0,53209.0,0,1,0,0,0,0,0,0,0
2478 S 5TH ST,14.0,17.0,2.0,186600.0,309.0,53207.0,0,0,0,0,0,0,0,0,1
2478 S 5TH ST,14.0,17.0,2.0,186600.0,309.0,53207.0,0,0,0,0,0,0,0,0,1
5820 N 68TH ST,2.0,2.0,4.0,1300.0,29.0,53218.0,0,1,0,0,0,0,0,0,0
2825 N 24TH ST,15.0,9.0,5.0,8800.0,143.0,53206.0,0,1,0,0,0,0,0,0,0
3910 W WALNUT ST,15.0,11.0,3.0,9600.0,165.0,53208.0,0,1,0,0,0,0,0,0,0
6030 W CAPITOL DR,2.0,,7.0,3600.0,67.0,53216.0,0,0,0,0,0,0,0,0,1
2448 S 17TH ST,12.0,17.0,2.0,18800.0,247.0,53215.0,0,0,0,1,0,0,0,0,0
5911 N 83RD ST,2.0,2.0,4.0,1500.0,27.0,53218.0,0,0,1,0,0,0,0,0,0
100 W LOCUST ST,6.0,6.0,5.0,7000.0,118.0,53212.0,0,0,0,0,0,1,0,0,0
3131 N 44TH ST,7.0,5.0,7.0,4900.0,84.0,53216.0,0,0,0,0,0,0,0,0,1
5265 W FOND DU LAC AV,2.0,,7.0,3600.0,67.0,53216.0,0,1,0,0,0,0,0,0,0
2512 N 34TH ST,15.0,8.0,3.0,8900.0,148.0,53210.0,0,1,0,0,0,0,0,0,0
2454 N 44TH ST,15.0,5.0,3.0,9100.0,154.0,53210.0,0,1,0,1,0,0,0,0,0
8500 W CAPITOL DR,5.0,,7.0,3400.0,76.0,53222.0,0,0,0,0,0,0,0,1,0
1400 W COLUMBIA ST,6.0,4.0,5.0,6600.0,108.0,53206.0,0,0,0,0,0,1,0,0,0
1662 N CASS ST,3.0,,1.0,11100.0,179.0,53202.0,0,0,0,0,0,0,0,0,0
2515 N FREDERICK AV,3.0,,1.0,7700.0,130.0,53211.0,0,0,1,0,0,0,0,0,0
2602 W PORT SUNLIGHT WA,1.0,4.0,5.0,4200.0,58.0,53209.0,0,0,1,0,0,0,0,0,0
10135 W HAMPTON AV,5.0,,4.0,501.0,36.0,53225.0,0,0,0,0,0,1,0,0,0
6522 W CARMEN AV,2.0,2.0,4.0,1300.0,25.0,53218.0,0,1,0,0,0,0,0,0,0
3763 N 5TH ST,6.0,6.0,5.0,4400.0,115.0,53212.0,0,1,0,0,0,0,0,0,0
3245 N 37TH ST,7.0,5.0,7.0,4800.0,101.0,53216.0,0,0,0,1,0,0,0,0,0
3220 W VLIET ST,15.0,11.0,3.0,12200.0,167.0,53208.0,0,1,0,1,0,0,0,0,0
,8.0,,2.0,18900.0,248.0,53215.0,0,0,0,0,0,0,1,0,0
5736 N 63RD ST,2.0,2.0,4.0,1200.0,25.0,53218.0,0,1,0,0,0,0,0,0,0
9120 W HAMPTON AV,5.0,,7.0,1700.0,36.0,53225.0,0,0,0,1,0,0,0,0,0
2572 N 12TH ST,15.0,10.0,3.0,8400.0,139.0,53206.0,0,1,0,0,0,0,0,0,0
1730 N 7TH ST,6.0,13.0,5.0,186000.0,171.0,53212.0,0,1,0,0,0,0,0,0,0
777 N VAN BUREN ST,4.0,,1.0,14400.0,141.0,53202.0,0,0,1,0,0,0,0,0,0
1215 W HADLEY ST,,,,,,,0,0,0,0,0,1,0,0,0
2524 S 62ND ST,11.0,,6.0,19300.0,255.0,53219.0,0,0,0,0,0,0,0,0,1
3133 N 33RD ST,7.0,5.0,7.0,6300.0,102.0,53216.0,0,1,0,0,0,0,0,0,0
2215 S 14TH ST,12.0,17.0,2.0,17500.0,246.0,53215.0,0,0,0,0,0,1,0,0,0
8525 W FLORIST AV,2.0,2.0,4.0,1500.0,30.0,53225.0,0,0,0,0,0,0,0,0,1
6101 W CARMEN AV,2.0,2.0,4.0,1200.0,25.0,53218.0,0,0,0,0,0,1,0,0,0
901 W BURNHAM ST,12.0,16.0,2.0,16700.0,233.0,53204.0,0,0,0,0,0,0,0,0,1
2258 S 17TH ST,12.0,17.0,2.0,17400.0,247.0,53215.0,0,1,0,0,0,0,0,0,0
4138 N 56TH ST,7.0,,7.0,3600.0,66.0,53216.0,0,0,1,0,0,0,0,0,0
2525 W FOND DU LAC AV,15.0,9.0,3.0,8800.0,145.0,53206.0,0,0,0,0,0,1,0,0,0
6329 N 84TH ST,2.0,2.0,4.0,1400.0,28.0,53225.0,0,1,0,0,0,0,0,0,0
761 N WATER ST,4.0,,1.0,14400.0,141.0,53202.0,0,0,0,0,0,0,0,1,0
3910 W FOND DU LAC AV,7.0,5.0,7.0,4800.0,101.0,53216.0,0,0,0,0,0,0,0,0,1
3753 N 5TH ST,6.0,6.0,5.0,4400.0,115.0,53212.0,0,0,0,1,0,0,0,0,0
158 E JUNEAU AV,4.0,,1.0,11300.0,158.0,53202.0,0,0,0,0,0,0,0,0,0
9219 N 75TH ST,9.0,,4.0,101.0,3.0,53223.0,0,0,0,1,0,0,0,0,0
2635 W FOND DU LAC AV,15.0,9.0,3.0,8800.0,145.0,53210.0,0,1,0,0,0,0,0,0,0
421 E WILSON ST,14.0,,6.0,17900.0,241.0,53207.0,0,0,0,1,0,0,0,0,0
2940 N 29TH ST,7.0,4.0,5.0,6300.0,102.0,53210.0,0,1,0,0,0,0,0,0,0
1117 N EDISON ST,4.0,,1.0,14400.0,158.0,53202.0,0,1,0,0,0,0,0,0,0
4058 N 7TH ST,1.0,6.0,5.0,4300.0,56.0,53209.0,0,1,0,1,0,0,0,0,0
6401 S 13TH ST,13.0,,6.0,21700.0,314.0,53221.0,0,0,0,0,0,0,0,0,0
3362 N PALMER ST,6.0,6.0,5.0,6900.0,116.0,53212.0,0,1,0,0,0,0,0,0,0
4735 N 18TH ST,1.0,3.0,7.0,2300.0,55.0,53209.0,0,0,0,1,0,0,0,0,0
4626 N 42ND ST,7.0,1.0,7.0,2600.0,61.0,53209.0,0,0,0,0,0,0,0,1,0
5163 N 31ST ST,1.0,2.0,7.0,2400.0,51.0,53209.0,0,0,0,0,0,0,0,1,0
,15.0,9.0,3.0,9900.0,145.0,53206.0,0,0,0,0,0,0,1,0,0
7717 W GOOD HOPE RD,9.0,,4.0,102.0,9.0,53223.0,0,1,0,0,0,0,0,0,0
5624 W SHERIDAN AV,2.0,2.0,4.0,1900.0,44.0,53218.0,0,1,0,0,0,0,0,0,0
3440 N RICHARDS ST,6.0,6.0,5.0,6900.0,116.0,53212.0,0,1,0,0,0,0,0,0,0
